timestamp,region,PM2_5,temperature,humidity,PM2_5_zscore,temperature_zscore,humidity_zscore,date,hour,PM2_5_lag1,PM2_5_rate_change,AQI_Category
2004-03-10 18:00:00+00:00,Region1,2.6,13.6,48.9,0.5424876479178417,2.3164467423590325,-1.817012012877564,2004-03-10,18,0.0,0.0,Good
2004-03-10 19:00:00+00:00,Region1,2.0,13.3,47.7,0.025065435877392,2.12497383496793,-1.9799798962044584,2004-03-10,19,2.6,-0.2307692307692307,Good
2004-03-10 20:00:00+00:00,Region1,2.2,11.9,54.0,0.197539506557542,1.2314336004761148,-1.1243985087382593,2004-03-10,20,2.0,0.1,Good
2004-03-10 21:00:00+00:00,Region1,2.2,11.0,60.0,0.197539506557542,0.657014878302805,-0.3095590921037838,2004-03-10,21,2.2,0.0,Good
2004-03-10 22:00:00+00:00,Region1,1.6,11.2,59.6,-0.3198827054829076,0.7846634832302067,-0.3638817198794153,2004-03-10,22,2.2,-0.2727272727272727,Good
2004-03-10 23:00:00+00:00,Region1,1.2,11.2,59.2,-0.6648308468432074,0.7846634832302067,-0.4182043476550469,2004-03-10,23,1.6,-0.25,Good
2004-03-11 00:00:00+00:00,Region1,1.2,11.3,56.8,-0.6648308468432074,0.8484877856939087,-0.7441401143088379,2004-03-11,0,1.2,0.0,Good
2004-03-11 01:00:00+00:00,Region1,1.0,10.7,60.0,-0.8373049175233571,0.4655419709117013,-0.3095590921037838,2004-03-11,1,1.2,-0.1666666666666666,Good
2004-03-11 02:00:00+00:00,Region1,0.9,10.7,59.7,-0.923541952863432,0.4655419709117013,-0.3503010629355072,2004-03-11,2,1.0,-0.0999999999999999,Good
2004-03-11 03:00:00+00:00,Region1,0.6,10.3,60.2,-1.1822530588836568,0.210244761056898,-0.2823977782159676,2004-03-11,3,0.9,-0.3333333333333333,Good
2004-03-11 05:00:00+00:00,Region1,0.7,11.0,56.2,-1.096016023543582,0.657014878302805,-0.8256240559722846,2004-03-11,5,0.6,0.1666666666666666,Good
2004-03-11 06:00:00+00:00,Region1,0.7,10.5,58.1,-1.096016023543582,0.3378933659842997,-0.5675915740380343,2004-03-11,6,0.7,0.0,Good
2004-03-11 07:00:00+00:00,Region1,1.1,10.2,59.6,-0.7510678821832821,0.146420458593196,-0.3638817198794153,2004-03-11,7,0.7,0.5714285714285716,Good
2004-03-11 08:00:00+00:00,Region1,2.0,10.8,57.4,0.025065435877392,0.5293662733754033,-0.6626561726453901,2004-03-11,8,1.1,0.818181818181818,Good
2004-03-11 09:00:00+00:00,Region1,2.2,10.5,60.6,0.197539506557542,0.3378933659842997,-0.228075150440336,2004-03-11,9,2.0,0.1,Good
2004-03-11 10:00:00+00:00,Region1,1.7,10.8,58.4,-0.2336456701428327,0.5293662733754033,-0.5268496032063108,2004-03-11,10,2.2,-0.2272727272727273,Good
2004-03-11 11:00:00+00:00,Region1,1.5,10.5,57.9,-0.4061197408229826,0.3378933659842997,-0.5947528879258505,2004-03-11,11,1.7,-0.1176470588235293,Good
2004-03-11 12:00:00+00:00,Region1,1.6,9.5,66.8,-0.3198827054829076,-0.3003496586527109,0.6139255800819547,2004-03-11,12,1.5,0.0666666666666667,Good
2004-03-11 13:00:00+00:00,Region1,1.9,8.3,76.4,-0.0611715994626829,-1.0662412882171233,1.917668646697117,2004-03-11,13,1.6,0.1874999999999999,Good
2004-03-11 14:00:00+00:00,Region1,2.9,8.0,81.1,0.8011987539380662,-1.257714195608227,2.555959523060788,2004-03-11,14,1.9,0.5263157894736842,Good
2004-03-11 15:00:00+00:00,Region1,2.2,8.3,79.8,0.197539506557542,-1.0662412882171233,2.379410982789985,2004-03-11,15,2.9,-0.2413793103448275,Good
2004-03-11 16:00:00+00:00,Region1,2.2,9.7,71.2,0.197539506557542,-0.1727010537253092,1.2114744856139044,2004-03-11,16,2.2,0.0,Good
2004-03-11 17:00:00+00:00,Region1,2.9,9.8,67.6,0.8011987539380662,-0.1088767512616073,0.7225708356332178,2004-03-11,17,2.2,0.318181818181818,Good
2004-03-11 18:00:00+00:00,Region1,4.8,10.3,64.2,2.439702425399489,0.210244761056898,0.2608284995403494,2004-03-11,18,2.9,0.6551724137931034,Good
2004-03-11 19:00:00+00:00,Region1,2.111764705882353,9.7,69.3,0.1214480047868875,-0.1727010537253092,0.9534420036796528,2004-03-11,19,4.8,-0.5600490196078431,Good
2004-03-11 20:00:00+00:00,Region1,6.1,9.6,67.8,3.560783884820464,-0.2365253561890101,0.749732149521034,2004-03-11,20,2.111764705882353,1.8885793871866288,Good
2004-03-11 21:00:00+00:00,Region1,3.9,9.1,64.0,1.6635691073388157,-0.5556468685075154,0.2336671856525332,2004-03-11,21,6.1,-0.360655737704918,Good
2004-03-11 22:00:00+00:00,Region1,1.5,8.2,63.4,-0.4061197408229826,-1.1300655906808252,0.1521832439890854,2004-03-11,22,3.9,-0.6153846153846154,Good
2004-03-11 23:00:00+00:00,Region1,1.0,8.2,60.8,-0.8373049175233571,-1.1300655906808252,-0.2009138365525208,2004-03-11,23,1.5,-0.3333333333333333,Good
2004-03-12 00:00:00+00:00,Region1,1.7,8.3,58.5,-0.2336456701428327,-1.0662412882171233,-0.5132689462624027,2004-03-12,0,1.0,0.7,Good
2004-03-12 01:00:00+00:00,Region1,1.9,7.7,59.7,-0.0611715994626829,-1.44918710299933,-0.3503010629355072,2004-03-12,1,1.7,0.1176470588235293,Good
2004-03-12 02:00:00+00:00,Region1,1.4,7.1,61.8,-0.4923567761630575,-1.8321329177815369,-0.0651072671134415,2004-03-12,2,1.9,-0.2631578947368421,Good
2004-03-12 03:00:00+00:00,Region1,0.8,7.0,62.3,-1.0097789882035069,-1.8959572202452373,0.002796017606098,2004-03-12,3,1.4,-0.4285714285714285,Good
2004-03-24 18:00:00+00:00,Region1,2.7,10.7,68.5,0.6287246832579166,0.4655419709117013,0.8447967481283899,2004-03-24,18,0.8,2.375,Good
